time_ms,rtt_ms,min_rtt_ms,predicted_queue_bytes,bucket_size_bytes
10864035413,0.427246,0.183105,205.811,1200
10864036976,78.1097,0.183105,65692.2,1200
10864038365,1.25122,0.183105,900.421,2400
10864039881,28.595,0.183105,23951.2,1200
10864041219,1.14441,0.427246,604.568,1200
10864041922,1.25122,0.427246,694.611,1200
10864042675,1.297,0.427246,733.2,1200
10864043365,1.84631,0.427246,1196.27,1200
10864044335,0.457764,0.427246,25.7263,1200
10864045049,0.930786,0.427246,424.484,1200
10864045840,0.610352,0.457764,128.632,1200
10864047122,0.808716,0.457764,295.853,1200
10864048152,0.793457,0.457764,282.99,1200
10864049515,0.183105,0.183105,0,1200
10864050497,1.54114,0.183105,1144.82,1200
10864051120,1.43433,0.183105,1054.78,2400
10864052636,0.50354,0.183105,270.126,2400
10864054062,1.06812,0.183105,746.063,2400
10864055093,1.06812,0.183105,746.063,2400
10864055093,81.3904,0.183105,746.063,2400
10864055733,81.3904,0.183105,68457.7,1200
10864056227,0.915527,0.183105,590.332,1200
10864057002,0.915527,0.183105,590.332,1200
10864057207,78.3691,0.183105,63017.9,1200
10864057838,78.3691,0.183105,63017.9,1200
10864058165,161.392,0.183105,129935,1200
10864058720,161.392,0.183105,129935,1200
10864058869,0.442505,0.183105,209.076,1200
10864059467,0.442505,0.183105,209.076,1200
10864059512,0.411987,0.183105,184.479,1200
10864060450,1.02234,0.411987,491.943,1200
10864060818,1.02234,0.411987,491.943,1200
10864061722,0.778198,0.411987,295.166,1200
10864062131,0.778198,0.411987,295.166,2400
10864062710,0.62561,0.411987,172.18,2400
10864063634,1.63269,0.411987,983.887,2400
10864064539,0.427246,0.411987,12.2986,2400
10864065377,0.427246,0.411987,12.2986,2400
10864065484,1.58691,0.411987,946.991,2400
10864066283,1.58691,0.411987,946.991,2400
10864066697,1.5564,0.411987,922.394,2400
10864067260,1.5564,0.411987,922.394,2400
10864067922,1.5564,0.411987,922.394,2400
10864068194,1.28174,0.411987,701.019,2400
10864068662,1.28174,0.411987,701.019,2400
10864068991,56.2744,0.411987,45025.1,1200
10864069633,1.09863,0.427246,541.138,1200
10864069953,1.09863,0.427246,541.138,1200
10864070335,0.610352,0.427246,147.583,1200
10864070575,0.610352,0.427246,147.583,1200
10864071107,0.747681,0.427246,258.27,1200
10864071389,0.747681,0.427246,258.27,1200
10864072310,0.930786,0.427246,405.853,1200
10864072914,0.930786,0.427246,405.853,1200
10864073071,14.5416,0.427246,11376.2,1200
10864073821,0.88501,0.427246,368.958,1200
10864075288,0.534058,0.427246,86.0901,1200
10864076569,1.2207,0.534058,553.436,2400
10864077899,0.900269,0.534058,295.166,2400
10864078869,0.62561,0.534058,73.7915,2400
10864079996,0.671387,0.534058,110.687,2400
10864081005,0.671387,0.534058,101.486,2400
10864081130,0.457764,0.457764,0,2400
10864081789,0.457764,0.457764,0,2400
10864082269,0.350952,0.350952,0,2400
10864082776,0.350952,0.350952,0,2400
10864083542,1.32751,0.350952,721.68,2400
10864083740,1.32751,0.350952,721.68,2400
10864084185,1.11389,0.350952,563.812,2400
10864084509,1.11389,0.350952,563.812,2400
10864084803,5.52368,0.350952,3822.65,2400
10864085464,6.05774,0.350952,4217.32,2400
10864085907,6.05774,0.350952,4217.32,2400
10864086060,1.66321,0.350952,992.065,2400
10864087088,3.86047,0.350952,2653.2,2400
10864087135,3.86047,0.350952,2653.2,2400
10864087780,3.86047,0.350952,2653.2,2400
10864088208,4.88281,0.350952,3426.09,2400
10864089020,4.88281,0.350952,3426.09,2400
10864089379,5.20325,0.350952,3668.33,2400
10864089945,4.63867,0.350952,3241.52,2400
10864090300,4.63867,0.350952,3241.52,2400
10864090869,4.63867,0.350952,3241.52,2400
10864091008,0.640869,0.350952,219.177,2400
10864091852,1.43433,0.350952,770.279,2400
10864091916,1.43433,0.350952,770.279,2400
10864092794,0.579834,0.579834,0,2400
10864092990,0.579834,0.579834,0,2400
10864094251,3.32642,0.579834,1952.82,2400
10864094419,3.32642,0.579834,1952.82,2400
10864095478,1.17493,0.579834,423.111,2400
10864095662,1.17493,0.579834,423.111,2400
10864096447,3.08228,0.579834,1779.24,2400
10864096754,3.08228,0.579834,1779.24,2400
10864097794,3.08228,0.579834,1779.24,2400
10864097814,45.8527,0.579834,32189,1200
10864098669,45.8527,0.579834,32189,1200
10864099526,0.228882,0.228882,0,1200
10864100063,0.228882,0.228882,0,1200
10864100829,0.137329,0.137329,0,1200
10864101089,0.137329,0.137329,0,1200
10864101874,30.5176,0.137329,21600.4,1200
10864102471,30.5176,0.137329,21600.4,1200
10864103310,1.25122,0.137329,791.977,1200
10864104832,1.08337,0.137329,672.638,2400
10864105903,1.08337,0.137329,672.638,2400
10864106150,0.442505,0.137329,218.201,2400
